,APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address,ADDRESS_PO,AREA,ATTACHED_FLAG,DETACHED_FLAG,IMPROVEMEN,LESS_50K,SFHA_FLAG,FLOOD_FLAG,PUC_DESC,BLOCK,BOOK,LOT,SUBLOT,PARCEL_ID,PERIMETER,RETIRE_DAT,REV_DATE,TAXYEAR,LAND,FIXTURES,TOTAL_GROS,EXEM_HOMEO,NET_ASSESS,ASSESSMENT,TRA,PUC,SITUS_CITY,GEOMETRY_L,GEOMETRY_A,CENT_X,CENT_Y
10,63023020,502.1198906,538.8414302,Single Family Residential,1952,4731.0,2015,164460,106103,270563,18.09780892,4.995737155,90.41189642,-1.0,5800.03527052978,attached,-122.13365244,37.4819701,"2893 Illinois St, East Palo Alto, CA 94303, USA",2893 Illinois St,5936.43,1.0,,"$108,225.00 ",0.0,1.0,0.0,Single Family Residence,3,63,2,0.0,183938,318.06,,5/25/2007,2017,"$167,749 ",,"$275,974 ",,"$275,974 ",Annual,21031.0,1.0,East Palo Alto,313.55687539999997,5800.040884,-122.1336524,37.4819701
11,63011110,546.7626687999999,533.3264626,Single Family Residential,1953,4881.92,2015,152292,139311,291603,11.19337772,5.125950081,57.37669543,-1.0,5740.672710780141,attached,-122.13702099999999,37.48182243,"1719 Tulane Ave, East Palo Alto, CA 94303, USA",1719 Tulane Ave,5957.84,1.0,,"$202,096.00 ",0.0,1.0,0.0,Single Family Residence,1,63,11,0.0,184069,332.03,,5/25/2007,2017,"$155,337 ",,"$357,433 ",,"$357,433 ",Escape,21019.0,1.0,East Palo Alto,327.8540645,5740.678265,-122.13702099999999,37.48182243
12,63023050,649.7037496,1250.106684,Single Family Residential,1952,3323.42,2015,705598,106601,812199,21.89950894,13.21588684,289.421432,1.0,13456.023335907601,detached,-122.13396298,37.48178046,"2801 Drew Ct, East Palo Alto, CA 94303, USA",2881 Drew Ct,12874.91,1.0,1.0,"$105,000.00 ",0.0,1.0,0.0,Single Family Residence,3,63,5,0.0,183935,478.51,,5/25/2007,2014,"$695,000 ",,"$800,000 ",,"$800,000 ",Supplemental,21031.0,1.0,East Palo Alto,485.2668716,13456.03636,-122.133963,37.48178046
13,63023360,1099.8414779999998,577.3559307,Single Family Residential,1953,7331.56,2015,317500,317500,635000,7.270432627000001,5.125950081,37.26787471,-1.0,6214.60150246173,attached,-122.13427733,37.48189469,"2878 Fordham St, East Palo Alto, CA 94303, USA",2878 Fordham St,5927.51,1.0,,"$362,077.00 ",0.0,1.0,0.0,Single Family Residence,3,63,36,0.0,183904,321.87,,5/25/2007,2017,"$362,077 ",,"$724,154 ","$7,000 ","$678,000 ",Annual,21031.0,1.0,East Palo Alto,324.3005471,6214.607517,-122.13427730000001,37.481894700000005
14,63011030,406.38556810000006,590.7591677999999,Single Family Residential,1953,4323.82,2015,120038,120038,240076,18.62470604,5.086133607,94.72774332,-1.0,6358.872606282421,attached,-122.13833604,37.48148366,"1665 Tulane Ave, East Palo Alto, CA 94303, USA",1665 Tulane Ave,6351.81,1.0,,"$122,438.00 ",0.0,1.0,0.0,Single Family Residence,1,63,3,0.0,184077,353.12,,5/25/2007,2017,"$122,438 ",,"$244,876 ","$7,000 ","$237,876 ",Annual,21019.0,1.0,East Palo Alto,353.3923108,6358.8787600000005,-122.13833600000001,37.48148366
15,63022040,432.4191954,480.3371409,Single Family Residential,1953,4050.22,2015,134879,72828,207707,11.91245551,5.714448505,68.07311357,0.192,5170.30095093351,none,-122.13527158,37.48130452,"2845 Fordham St, East Palo Alto, CA 94303, USA",2845 Fordham St,4955.42,,,"$74,284.00 ",0.0,1.0,0.0,Single Family Residence,2,63,4,0.0,183897,299.11,,5/25/2007,2017,"$137,576 ",,"$211,860 ",,"$211,860 ",Annual,21031.0,1.0,East Palo Alto,306.8336657,5170.305955,-122.1352716,37.48130452
16,63013020,1076.536033,471.5346114,Single Family Residential,1953,7298.58,2015,253812,253812,507624,9.885666799,4.995737155,49.38619292,-1.0,5075.55140364846,none,-122.13838615,37.48099577,"1648 Tulane Ave, East Palo Alto, CA 94303, USA",1648 Tulane Ave,5102.82,,,"$258,888.00 ",0.0,1.0,0.0,Single Family Residence,3,63,2,0.0,184048,304.11,,5/25/2007,2017,"$258,888 ",,"$517,776 ","$7,000 ","$510,776 ",Annual,21019.0,1.0,East Palo Alto,301.52824469999996,5075.556315,-122.1383861,37.48099577
17,63023090,572.7174244,566.7297452,Single Family Residential,1952,5316.02,2015,162288,162288,324576,11.55941962,5.125950081,59.25300795,-1.0,6100.22230435828,attached,-122.13377562,37.48109759,"2867 Illinois St, East Palo Alto, CA 94303, USA",2867 Illinois St,5926.59,1.0,,"$165,533.00 ",0.0,1.0,0.0,Single Family Residence,3,63,9,0.0,183931,317.56,,5/25/2007,2017,"$165,533 ",,"$331,066 ",,"$331,066 ",Annual,21031.0,1.0,East Palo Alto,323.099154,6100.228207,-122.1337756,37.48109759
18,63022060,334.33941949999996,474.0033353999999,Single Family Residential,1953,3517.04,2015,120302,38176,158478,11.72740562,10.63585784,124.73101899999999,0.615,5102.12450191206,none,-122.13543768,37.48106424,"2833 Fordham St, East Palo Alto, CA 94303, USA",2833 Fordham St,4983.17,,,"$38,938.00 ",1.0,1.0,1.0,Single Family Residence,2,63,6,0.0,183895,300.0,,5/25/2007,2017,"$122,707 ",,"$161,645 ",,"$161,645 ",Annual,21031.0,1.0,East Palo Alto,306.580639,5102.129438,-122.13543770000001,37.48106424
19,63011170,749.5858347999999,518.0514119,Single Family Residential,1953,6006.46,2015,194162,194162,388324,13.3257658,5.467429345,72.85768297,0.192,5576.253592550409,attached,-122.13603584,37.48208941,"1761 Tulane Ave, East Palo Alto, CA 94303, USA",1761 Tulane Ave,5736.6,1.0,,"$198,045.00 ",0.0,1.0,0.0,Single Family Residence,1,63,17,0.0,184063,330.6,,5/25/2007,2017,"$198,045 ",,"$396,090 ",,"$396,090 ",Annual,21019.0,1.0,East Palo Alto,324.1373456,5576.258989,-122.1360358,37.48208942
20,63024050,49.05854936,737.4453682,Single Family Residential,1952,2192.42,2015,9268,26910,36178,16.12642581,10.82467286,174.56328380000002,0.846,7937.788198767978,detached,-122.13303511,37.48165033,"2872 Illinois St, East Palo Alto, CA 94303, USA",2872 Illinois St,7863.16,1.0,1.0,"$27,448.00 ",1.0,1.0,1.0,Single Family Residence,4,63,5,0.0,183953,393.23,,5/25/2007,2017,"$9,453 ",,"$36,901 ",,"$36,901 ",Annual,21031.0,1.0,East Palo Alto,404.37489460000006,7937.79588,-122.1330351,37.48165033
